criterion,role,topic,examples
"Adds basic unit tests","👩‍💻 Mobile engineering","mastery 2",""
"Proactively learns new things and seeks out people who can help them","👩‍💻 Mobile engineering","mastery 2",""
"Manages the release master process","👩‍💻 Mobile engineering","mastery 2",""
"Contributes to Android or iOS chat","👩‍💻 Mobile engineering","mastery 2",""
"Appropriately uses common functional reactive programming concepts","👩‍💻 Mobile engineering","mastery 2",""
"Designs database models","👩‍💻 Mobile engineering","mastery 2",""
"Appropriately handles errors or failure conditions in their code","👩‍💻 Mobile engineering","mastery 2",""
"Works with designers to handle empty, error, and loading states in multi screen flows","👩‍💻 Mobile engineering","mastery 2",""
"Integrates with new APIs","👩‍💻 Mobile engineering","mastery 2","Can add an integration with a new backend endpoint and handle return data; Can add an integration with a documented third party API"
"Uses concurrency appropriately","👩‍💻 Mobile engineering","mastery 2","Can reason whether to use asynchronous or synchronous operations; Understands impact on app performance to use either"
"Uses tools to diagnose and improve performance issues","👩‍💻 Mobile engineering","mastery 3",""
"Builds non-trivial, coordinated app flows with multiple services and data sources","👩‍💻 Mobile engineering","mastery 3",""
"Builds complex UI layouts in code or via IDE","👩‍💻 Mobile engineering","mastery 3",""
"Contributes to group standards, impactful in improving our processes","👩‍💻 Mobile engineering","mastery 3",""
"Proactively improves empty, error and loading states in screens & flows they encounter, works closely with designers to identify problem areas and suggest improvements","👩‍💻 Mobile engineering","mastery 3",""
"Adds migrations to handle changes between old and new app versions","👩‍💻 Mobile engineering","mastery 3","Owning migration from major language versions; Handling complex changes to third party dependencies; Writing migrations from one data schema to another"
"Sought out for reviewing complex changes or commenting on larger scale proposals","👩‍💻 Mobile engineering","mastery 4",""
"Builds flows that serve as an example of high quality interaction design","👩‍💻 Mobile engineering","mastery 4",""
"Owns and coordinates large scale architectural changes to the entire codebase","👩‍💻 Mobile engineering","mastery 4","Researches potential solutions and evaluates how they solve the problem.; Able to articulate _why_ a change in architecture is needed and the impact this will have on the team and business.; Dissects into discrete tasks and works with other team members to resolve issues.; Examples include network request lifecycle and authorisation, model layer and persistence, app navigation and coordination (eg deep links), and modularisation"
"Debugs complex problems across a variety of subject areas","👩‍💻 Mobile engineering","mastery 4","Seeks out technical knowledge to compliment their own, researches and patches third party libraries where needed. Uses reasoning to debug and find the root cause of issues.; Articulates problem and proposed solution to both technical and non technical peers."
"Writes proposals and architects complex app flows","👩‍💻 Mobile engineering","mastery 4","Coordinates with backend developers around API specifications and requirements.; Able to digest into discrete tasks and work with peers to solve problem in an efficient manner to avoid blockers."
"Anticipates large or significant platform changes, work with team to define possible solutions. Starts or finishes these projects.","👩‍💻 Mobile engineering","mastery 5",""
"Takes high level requirements and turns them into discrete technical concerns","👩‍💻 Mobile engineering","mastery 5",""
"Instills and maintains a culture of high quality interaction design in their discipline","👩‍💻 Mobile engineering","mastery 5",""
"Coordinates group efforts across horizontal","👩‍💻 Mobile engineering","mastery 5","A technical authority for iOS/Android on multiple teams, working with team leads and other guild members across the company."
"Anticipates platform/project needs from other teams, technical debt and common problems","👩‍💻 Mobile engineering","mastery 5","Proactively seeks out solutions for problems not owned by product teams, works with others to scope and identify solutions. Justifies effort to PMs in order to schedule work."
"Takes charge of low level deep dives when debugging complex issues.","👩‍💻 Mobile engineering","mastery 5","Able to handle situations where domain knowledge does not exist in the company and can lead the effort to resolve them.; For example, resolving issues with our compiler and mapping out code paths for 'hard to reproduce' issues"
"Provides regular status updates to their squad and discipline","🕵🏽‍♂️ Quality engineering","communication 1",""
"Points out improvements in test scenario reviews","🕵🏽‍♂️ Quality engineering","communication 1",""
"Seeks guidance from other testers, rather than answers","🕵🏽‍♂️ Quality engineering","communication 1",""
"Proactively communicates to their squad and discipline with what they are working on, why, how it's going and when they need help","🕵🏽‍♂️ Quality engineering","communication 2",""
"Accepts feedback graciously and looks to action feedback","🕵🏽‍♂️ Quality engineering","communication 2",""
"Communicates clearly to other disciplines and within squad with little need for clarification","🕵🏽‍♂️ Quality engineering","communication 2",""
"Works as part of a squad and can self assign tasks","🕵🏽‍♂️ Quality engineering","impact 1",""
"Delivers assigned tasks, working with a more senior squad or discipline member, and able to take feedback to improve their work","🕵🏽‍♂️ Quality engineering","impact 1",""
"Attends planning meetings, inputting on improving quality early and can identify simple risks","🕵🏽‍♂️ Quality engineering","impact 1",""
"Works as part of a squad, focuses on tasks that contribute to squad goals","🕵🏽‍♂️ Quality engineering","impact 2",""
"Contributes to a well functioning squad and discipline by picking ups tasks that need to be done to unblock.  Pairs with others if unable to complete task alone","🕵🏽‍♂️ Quality engineering","impact 2",""
"Solves small/medium problems","🕵🏽‍♂️ Quality engineering","impact 2",""
"Identifies areas of testing within the business that can be improved and suggests improvements","🕵🏽‍♂️ Quality engineering, 🕵🏽‍♂️ Quality engineering","impact 3, mastery 3",""
"Breaks down large problems into smaller iterative steps","🕵🏽‍♂️ Quality engineering","impact 3",""
"Identifies and raises issues with test tools, harnesses and frameworks used","🕵🏽‍♂️ Quality engineering","influence 2",""
"Contributes to tester discipline catch ups","🕵🏽‍♂️ Quality engineering","influence 2",""
"Provides valuable input to RFCs from other testers","🕵🏽‍♂️ Quality engineering","influence 3",""
"Proactively improves test frameworks and tools they encounter, 'this doesn't make sense, I'm going to do something about it'","🕵🏽‍♂️ Quality engineering","influence 3",""
"Contributes to scaling testing hiring (e.g. leads calls, onsite interviews)","🕵🏽‍♂️ Quality engineering","influence 3",""
"Builds simple test tools, harnesses, frameworks for the benefit of all testers","🕵🏽‍♂️ Quality engineering","influence 3",""
"Begins to apply exploratory testing techniques following guidance and training materials","🕵🏽‍♂️ Quality engineering","mastery 1",""
"Starts to write and communicate simple bug reports with guidance","🕵🏽‍♂️ Quality engineering","mastery 1",""
"Attends and starts to add value squad rituals","🕵🏽‍♂️ Quality engineering","mastery 1",""
"Uses tool assisted testing techniques to identify symptoms of bugs","🕵🏽‍♂️ Quality engineering","mastery 1",""
"Analyses features, understands impact of change can analyse what areas will be affected by a change","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Independently creates test scenarios for business features with high customer visibility and medium business risk","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Writes detailed bug reports according to best practice. Communicates clearly to the guild members with little need for clarification","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Independently uses tool assisted testing techniques to assist in determining a bug’s root cause","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Drives releases from a test perspective.  Understands the need for quality and weighs up bug impact vs feature impact to assist release decisions","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Participates in squad rituals","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Understands the impact of work being done","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Employs appropriate exploratory testing techniques","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Proactive in asking questions to identify areas of risk","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Self learns new techniques and tools and seeks out people who can assist them","🕵🏽‍♂️ Quality engineering","mastery 2",""
"Leads conversations when analysing features, advocates for acceptance criteria to be included (Example: advocates for accessibility acceptance criteria to be included in a front-end story)","🕵🏽‍♂️ Quality engineering","mastery 3",""
"Creates test scenarios for business features with high customer visibility and high business risk. Advises others on how to create test scenarios","🕵🏽‍♂️ Quality engineering","mastery 3",""
"Advises on testing approach for a feature, advocates for testing lower down the test pyramid (Example: pushes testing of some acceptance criteria down into the unit tests, works with developers to help that happen)","🕵🏽‍♂️ Quality engineering","mastery 3",""
"Writes detailed bug reports, communicates to developers, advocates for fixes, contributes to defining best practice","🕵🏽‍♂️ Quality engineering","mastery 3",""
"Debugs complex defects, able to capture root cause (not just symptoms)","🕵🏽‍♂️ Quality engineering","mastery 3",""
"Helps Product Managers and Designers to understand and consider non-functional requirements in the product development process","🌐 Web engineering","influence 3",""
"Promotes accessibility good practice and helps other guild members to deepen their accessibility knowledge, including demonstrating how to use screen readers","🌐 Web engineering","influence 3",""
"Promotes security good practice and helps other guild members to deepen their security knowledge","🌐 Web engineering","influence 3",""
"Promotes performance good practice and helps other guild members to deepen their performance knowledge","🌐 Web engineering","influence 3",""
"Keeps up to date with industry developments and feeds specific technical and non-functional recommendations back into the business","🌐 Web engineering","influence 4",""
"Proactively identifies opportunities to improve company culture around coding standards and non-functional requirements","🌐 Web engineering","influence 4",""
"Learns to write semantic HTML and CSS following guidance and training materials","🌐 Web engineering","mastery 1",""
"Learns to write correct JavaScript following guidance and training materials","🌐 Web engineering","mastery 1",""
"Uses Chrome, React, and Redux DevTools effectively to increase productivity during development and debugging","🌐 Web engineering","mastery 1",""
"Implements simple components","🌐 Web engineering","mastery 1",""
"Asks questions and actions feedback from mentor","🌐 Web engineering","mastery 1",""
"Uses git to manage the development workflow effectively","🌐 Web engineering","mastery 1","Checkout, Push, Pull, Branch, Diff, Merge, Stash, Rebase, etc."
"Writes semantic HTML and CSS following accepted best practices","🌐 Web engineering","mastery 2",""
"Writes Flow types to statically type-check the code at compile-time","🌐 Web engineering","mastery 2",""
"Writes automated unit and end-to-end tests following accepted best practices","🌐 Web engineering","mastery 2",""
"Deploys web services into staging and production following our deployment guidelines","🌐 Web engineering","mastery 2",""
"Assists on the design of new features and components","🌐 Web engineering","mastery 2",""
"Solves well-defined tasks within our current developer abstractions","🌐 Web engineering","mastery 2",""
"Integrates with backend APIs and handles successful and failed responses properly","🌐 Web engineering","mastery 2",""
"Works with users to improve new and existing simple features iteratively","🌐 Web engineering","mastery 2",""
"Uses a keyboard and screen-reader to manually test their application for accessibility issues","🌐 Web engineering","mastery 2",""
"Runs automated auditing tools such as Lighthouse before submitting a PR for review","🌐 Web engineering","mastery 2",""
"Demonstrates awareness of a range of security considerations, and mitigates against them","🌐 Web engineering","mastery 2",""
"Has multiple examples of where performance was considered as part of a solution","🌐 Web engineering","mastery 2",""
"Applies fundamental UX and accessibility principles to common problems such as form design","🌐 Web engineering","mastery 2","Referencing (and improving) existing Design Systems where possible"
"Writes correct JavaScript code following accepted best practices","🌐 Web engineering","mastery 2","Follows our JavaScript Coding Conventions & Best Practices; uses language-level primitives correctly"
"Implements simple components following accepted best practices","🌐 Web engineering","mastery 2","Follows React Development Conventions & Best Practices; uses component state and lifecycle methods correctly"
"Uses shared libraries to reuse existing functionality","🌐 Web engineering","mastery 2","lib.money; lib.api; lib.identity-verification, etc."
"Uses appropriate design patterns to solve problems","🌐 Web engineering","mastery 3",""
"Identifies obvious deficiencies in the development processes and supports activities to improve them","🌐 Web engineering","mastery 3",""
"Assists more experienced guild members on the design of larger features","🌐 Web engineering","mastery 3",""
"Modifies and improves code outside of the developer abstractions and reasons about the improvements effectively","🌐 Web engineering","mastery 3",""
"Fixes bugs in asynchronous code","🌐 Web engineering","mastery 3",""
"Explains developer abstractions and how to contribute to them to other guild members","🌐 Web engineering","mastery 3",""
"Collaborates with designers and user researchers to create prototypes and to evaluate them","🌐 Web engineering","mastery 3",""
"Differentiates between user needs and desires and prioritises accordingly","🌐 Web engineering","mastery 3",""
"Implements non-trivial components","🌐 Web engineering","mastery 3","Uses modern CSS features like flex-box, grid, media-queries, selectors, etc; Uses advanced component patterns higher-order components, render props, controlled components, compound components"
"Writes effective asynchronous code","🌐 Web engineering","mastery 3","Demonstrates solid understanding of the JavaScript runtime; reasons effectively about the runtime behaviour of asynchronous code; uses async/await, generators and Redux-Saga’s to implement asynchronous code"
"Writes effective JavaScript by applying fundamental functional and reactive principles and techniques where appropriate and guides others in so doing","🌐 Web engineering","mastery 3","Uses uses event streams, immutable data structures, pure functions, functional composition, memoization, etc."
"Considers metrics when developing, and uses appropriate services to check quality levels","🌐 Web engineering","mastery 3","A range, from services such as Lighthouse, WebPageTest, WAVE etc"
"Makes contributions to library code or other core parts of the applications","🌐 Web engineering","mastery 4",""
"Makes contributions to our development tools and build processes","🌐 Web engineering","mastery 4",""
"Writes complex asynchronous and concurrent code","🌐 Web engineering","mastery 4",""
"Identifies optimisation opportunities in the development process and contributes to the implementation of proposed solutions","🌐 Web engineering","mastery 4",""
"Builds maintainable and flexible components and applications","🌐 Web engineering","mastery 4",""
"Leads the refactoring of complex parts of the system","🌐 Web engineering","mastery 4",""
"Debugs and fixes complex issues at speed","🌐 Web engineering","mastery 4",""
"Identifies and fixes security weaknesses","🌐 Web engineering","mastery 4",""
"Identifies and fixes performance bottlenecks in applications","🌐 Web engineering","mastery 4",""
"Explains all aspects of the web platform to new guild members","🌐 Web engineering","mastery 4",""
"Puts users first and can manage competing priorities effectively","🌐 Web engineering","mastery 4",""
"Makes major contributions to library code or core parts of the application","🌐 Web engineering","mastery 5",""
"Anticipates platform and project needs, technical debt and common issues intuitively","🌐 Web engineering","mastery 5",""
"Produces technical designs for large complex projects","🌐 Web engineering","mastery 5",""
"Reviews technical designs and pull requests for large complex projects","🌐 Web engineering","mastery 5",""
"Encourages and supports other guild members to achieve outstanding results","🌐 Web engineering","mastery 5",""
"Creates major contributions to our documentation, and creates documents that provide guidelines and best practices to other guild members","🌐 Web engineering","mastery 5",""
"Works with technical and non-technical stakeholders to identify high-level requirements and turns them into discrete technical concerns","🌐 Web engineering","mastery 5",""
"Uses a risk-based approach and manages technical debt systematically to focus the team’s design and development efforts on the most important problems","🌐 Web engineering","mastery 6",""
"Works with business and technology stakeholder to translate difficult business problems into technical designs, thereby ensuring that the organisation derives maximum value from services","🌐 Web engineering","mastery 6",""
"Identifies architecturally significant functional and non-functional requirements, identifies conflicts among them, and defines possible trade-offs scenarios","🌐 Web engineering","mastery 6",""
"Articulates high-level technical goals, concerns, trade-offs, and decisions to the rest of the company effectively","🌐 Web engineering","mastery 6",""
"Facilitates technical decision making in complex and ambiguous situations","🌐 Web engineering","mastery 6",""
"Promotes architectural thinking and good engineering practices at scale","🌐 Web engineering","mastery 6",""
"Makes improvements that affect important non-functional requirements that have an effect on the entire web-platform","🌐 Web engineering","mastery 6",""
"Identifies and explores opportunities for service and business improvement","🌐 Web engineering","mastery 6",""
"Assesses if features they are involved with are needed, how it solves customer problems and how it contributes to a measurable business objective.","🚀 Product Manager","problem solving 1",""
"Demonstrates enthusiasm to learn a range of problem-solving techniques and practices.","🚀 Product Manager","problem solving 1",""
"Understands how product works in their squad, which problems it solves and how it is performing.","🚀 Product Manager","problem solving 1",""
"Works with the squad to set clear goals for their remit.","🚀 Product Manager","problem solving 2",""
"Identifies assumptions and risks, and tackles them upfront, testing and learning in increments.","🚀 Product Manager","problem solving 2",""
"Uses or fosters creativity and experimentation to find and solve problems.","🚀 Product Manager","problem solving 2",""
"Considers which features to remove, as well as maintain.","🚀 Product Manager","problem solving 2",""
"Learns from failure and success. Shares and builds on that learning.","🚀 Product Manager","problem solving 2",""
"Asks good questions to get to the root of a problem or opportunity.","🚀 Product Manager","problem solving 2",""
"Deep understanding of product in their squad and good knowledge of product in team.","🚀 Product Manager","problem solving 2",""
"Defines a clear, compelling and ambitious product vision and strategy for their remit. Strategy leads to high-performing product experience that delights users.","🚀 Product Manager","problem solving 3",""
"Proactively identifies and resolves potential problems. Can employ the right (one of many approaches) for the product and problem.","🚀 Product Manager","problem solving 3",""
"Deep understanding of product in their team and broad knowledge of overall product.","🚀 Product Manager","problem solving 3",""
"Successfully leads initiatives with high levels of uncertainty, from discovery to successful adoption or retirement.","🚀 Product Manager","problem solving 4",""
"Brings structure, clarity and new insights to ambiguous or complex problems. Can often find ways to make it possible to ‘do both’ by reframing problem or approach.","🚀 Product Manager","problem solving 4",""
"Always starts with user needs and acts as the voice of the user within their squad.","🚀 Product Manager","user-centricity 1",""
"Able to translate needs into user stories/jobs to be done. Ensures that anything shipped meets users needs. Understands the fidelity needed for different stages of rollout.","🚀 Product Manager","user-centricity 1",""
"Can identify who users are and what their needs are, based on evidence. Regularly engages with users and can carry out usability testing unassisted.","🚀 Product Manager","user-centricity 2",""
"Creates shared context and understanding of user needs in their squad. Helps their squad to identify and solve user problems, instead of jumping to features. Ensures that solutions to problems are delightful and high quality.","🚀 Product Manager","user-centricity 2",""
"In depth knowledge of current and potential users. Manages trade-offs between user needs.","🚀 Product Manager","user-centricity 3",""
"Ensures their area of the product delights their intended audiences and forms a coherent experience with other features.","🚀 Product Manager","user-centricity 3",""
"Champions users and a user-centred approach with stakeholders.","🚀 Product Manager","user-centricity 3",""
"Is a champion for user experience and starting with user needs - helps senior stakeholders and team members to understand the value of this approach.","🚀 Product Manager","user-centricity 4",""
"Can balance trade offs (or think creatively to increase the pie) between user need and business need.","🚀 Product Manager","user-centricity 4",""
"Closely tracks metrics for features. Uses them to spot issues and measure success.","🚀 Product Manager","data skills 1",""
"Understands how squad’s work links to business objectives and key performance indicators.","🚀 Product Manager","data skills 1",""
"Collaborates with product analyst to set up the right things to track. Understand what a metric actually measures and how reliable/direct it is.","🚀 Product Manager","data skills 2",""
"Closely tracks performance of their squad, and how to influence it. Draws reliable conclusions from qualitative and quantitative data.","🚀 Product Manager","data skills 2",""
"Closely tracks and understands how metrics interact with and impact other group/business metrics.","🚀 Product Manager","data skills 3",""
"Identifies when and how to set experiments, supported by a product data analyst. Incorporates results into future iterations.","🚀 Product Manager","data skills 3",""
"Can assimilate new information easily, and can synthesise qualitative and quantitative inputs to form reliable insights into user needs and behaviour.","🚀 Product Manager","data skills 3",""
"Makes data-driven decisions based on a multitude of complex, interdependent factors.","🚀 Product Manager","data skills 4",""
"Can design and evaluate experiments, based on solid hypotheses. Proactively alters course when confidence of hitting goals is low.","🚀 Product Manager","data skills 4",""
"Understands and appreciates the appropriate use of HTML, CSS, JS and native code.","🚀 Product Manager","domain knowledge 1",""
"Demonstrates appetite and aptitude to learn about the context the product operates in.","🚀 Product Manager","domain knowledge 1",""
"Understands core principles of web technologies, including HTTP(S)-based interactions between front-end clients and back-end servers/microservices and APIs.","🚀 Product Manager","domain knowledge 2",""
"Understands the need to consider, and takes, expert advice. Applies the concepts correctly and demonstrates a strong interest in their area.","🚀 Product Manager","domain knowledge 2",""
"Understands how code is tested, deployed and version-controlled for backend microservices, native apps and web interfaces.","🚀 Product Manager","domain knowledge 3",""
"Develops and maintains solid foundation of market knowledge in their area, proactively identifies potential issues/risks.","🚀 Product Manager","domain knowledge 3",""
"Conversant with overall Move architecture, and highly knowledgeable about specific elements and services that are relevant to their area of responsibility.","🚀 Product Manager","domain knowledge 4",""
"Develops and maintains an in-depth market knowledge in at least one area and is able to challenge experts. Identifies market opportunities or product gaps.","🚀 Product Manager","domain knowledge 4",""
"Can prioritise defined tasks based on effort, impact, user needs and business goals.","🚀 Product Manager","execution 1",""
"Tends to action - narrowing in on a MVP to help learn. Comfortable with releasing uncomfortable first versions (done is better than perfect).","🚀 Product Manager","execution 2",""
"Leads squad in prioritising work with some ambiguity or competing demands.","🚀 Product Manager","execution 2",""
"Makes sure the team have everything they need to be productive.","🚀 Product Manager","execution 2",""
"Maintains sensible work in progress limits and knows when and how to say no.","🚀 Product Manager","execution 2",""
"Able to prioritise effectively on multiple dimensions - makes sure the urgent doesn’t always outdo the important; that there is a balance between new work, maintenance, fixing issues; long- and short-term work.","🚀 Product Manager","execution 3",""
"Employs speed as a habit.","🚀 Product Manager","execution 3",""
"Creates frameworks that aid decision making and prioritisation.","🚀 Product Manager","execution 4",""
"Collaborates daily with members of the product squad to ship and iterate.","🚀 Product Manager","works through others 1",""
"Understands the objectives of and participates actively in team ceremonies. Prepared and organised to make the most of squad time.","🚀 Product Manager","works through others 1",""
"Sets squad rhythm and routines - facilitates agreement on how they all work together to discover, define and ship features or experiments to meet their goals.","🚀 Product Manager","works through others 2",""
"Works collaboratively to get the best out of all of the people in their squad, involving all disciplines throughout. Takes proactive steps to build and maintain team health, e.g. resolve conflict, counter inertia.","🚀 Product Manager","works through others 2",""
"Point person for the squad - does whatever is needed to unblock or support the squad and their delivery. Escalates and delegates appropriately.","🚀 Product Manager","works through others 2",""
"Ensures the squad has the skills and resources it needs to ship autonomously.","🚀 Product Manager","works through others 2",""
"Servant leader who empowers the squad to achieve more and be ambitious (test sooner, generate more ideas, think broadly), valuing outcome over output.","🚀 Product Manager","works through others 3",""
"Ensures the squad are aware of what other squads are working on and how that relates to their squad’s goals.","🚀 Product Manager","works through others 3",""
"Coaches Associate Product Managers and helps them identify and achieve personal development goals.","🚀 Product Manager","works through others 3",""
"Understands how the needs of the team vary across product and team lifecycle and adapts accordingly.","🚀 Product Manager","works through others 4",""
"Open to being challenged, encourages constructive conflict and maximises the talent of others. Makes the squad “missionaries, not mercenaries”.","🚀 Product Manager","works through others 4",""
"Seeks out the information they need to solve a problem.","🚀 Product Manager","feedback 1",""
"Keeps stakeholders like COps, legal, marketing, finance updated on progress and ensures they have what they need.","🚀 Product Manager","feedback 1",""
"Able to clearly articulate what we’re working on and why.","🚀 Product Manager","feedback 1",""
"Proactively communicates with users, squads and stakeholders.","🚀 Product Manager","feedback 2",""
"Identifies assumptions, shares direction and tailors communication to audience.","🚀 Product Manager","feedback 2",""
"Seeks out and gives constructive, actionable feedback where valuable.","🚀 Product Manager, 🔌 TechOps engineering","feedback 2, conduct 3",""
"Can gather influence and support for their work, confidently debating and defending their decisions and approach.","🚀 Product Manager","feedback 3",""
"Communicates effectively to a wide range of stakeholders, e.g. sharing update with ExCo/all hands or community.","🚀 Product Manager, 🔌 TechOps engineering","feedback 3, communication 3",""
"Ensures the team has strong relationships with stakeholders, fully recognises their constraints and concerns and creates mutual recognition and trust.","🚀 Product Manager","feedback 4",""
"Able to simply explain complex concepts and deliver difficult messages clearly.","🚀 Product Manager","feedback 4",""
"Reads, digests and comments on proposals","🔌 TechOps engineering","communication 1",""
"Seeks guidance from other TechOps specialists, rather than answers","🔌 TechOps engineering","communication 1",""
"Actively communicates what they are working on","🔌 TechOps engineering, 📄 Generic null","communication 1",""
"Seeks out feedback","🔌 TechOps engineering, 📄 Generic null","communication 1",""
"Gives clear concise updates in team meetings and stand ups on material which is relevant for the team","🔌 TechOps engineering","communication 1",""
"Can deliver their work to their team and others outside the team","🔌 TechOps engineering","communication 2",""
"Proactively gives feedback to those they work closely with","🔌 TechOps engineering","communication 2",""
"Can successfully get buy-in for their proposals","🔌 TechOps engineering, 📄 Generic null","communication 3",""
"Communicates their area’s role within the larger mission of the company","🔌 TechOps engineering, 📄 Generic null","communication 4",""
"Communicates the long-term vision & mission for the company and their area","🔌 TechOps engineering, 📄 Generic null","communication 5",""
"Knows what they need to do their role and knows who to go to if they don't know something","🔌 TechOps engineering","knowledge 1",""
"Proactively seeks out the information they need to solve a problem","🔌 TechOps engineering","knowledge 1",""
"Consistently striving to learn more","🔌 TechOps engineering","knowledge 1",""
"Learning just as much as adding value","🔌 TechOps engineering, 📄 Generic null","knowledge 1",""
"Has enough knowledge to make informed decisions","🔌 TechOps engineering, 📄 Generic null","knowledge 1",""
"Go to person within the team on their area. Team defaults to their opinion where there is uncertainty.","🔌 TechOps engineering","knowledge 2",""
"Knows which areas they know the best and proactively advises on these areas in team discussions and planning","🔌 TechOps engineering, 🔌 TechOps engineering","knowledge 2, knowledge 3",""
"Works to increase their and their team's knowledge in these areas","🔌 TechOps engineering, 🔌 TechOps engineering","knowledge 2, knowledge 3",""
"Identifies areas/subjects they don’t know and proactively seeks out knowledge","🔌 TechOps engineering, 🔌 TechOps engineering, 📄 Generic null","knowledge 2, knowledge 3",""
"Increased domain knowledge, has started to take on areas of work which they didn’t necessarily have knowledge on before they started","🔌 TechOps engineering","knowledge 2",""
"Aware of their weaknesses","🔌 TechOps engineering, 🔌 TechOps engineering, 📄 Generic null","knowledge 2, knowledge 3",""
"Go to expert within company, e.g. invited to give opinion at C Suite meetings.","🔌 TechOps engineering","knowledge 3",""
"Understands technical proposals within their area and the business implications of these.","🔌 TechOps engineering","knowledge 3",""
"Increased domain knowledge","🔌 TechOps engineering, 📄 Generic null","knowledge 3, knowledge 2",""
"Works to increase industry knowledge in their core area.","🔌 TechOps engineering","knowledge 4",""
"A key commentator on the industry, e.g. invited to give opinion at external committees, publishes blogs and disseminates knowledge to team.","🔌 TechOps engineering","knowledge 4",""
"Challenges proposed solutions in order to get to better ones. Comfortable challenging technical proposals within their area.","🔌 TechOps engineering","knowledge 4",""
"Constantly teaching and looking for new ways to share knowledge and skills with others.","🔌 TechOps engineering","knowledge 4",""
"Has depth of knowledge in a particular area and breadth of knowledge across their domain","🔌 TechOps engineering, 📄 Generic null","knowledge 4",""
"You know who the experts are and delegate accordingly","🔌 TechOps engineering, 📄 Generic null","knowledge 4",""
"Constantly innovating, learning, teaching and looking for new ways to do things which haven't been done before. Shares these new ways of doing things internally and externally. Is a recognised industry expert outside of Move.","🔌 TechOps engineering","knowledge 5",""
"Comfortable creating optimal technical proposals within their area of expertise.","🔌 TechOps engineering","knowledge 5",""
"Wide breadth of knowledge","🔌 TechOps engineering, 📄 Generic null","knowledge 5",""
"Can easily context switch within their area and pick up new concepts","🔌 TechOps engineering, 📄 Generic null","knowledge 5",""
"Follows policies and procedures applicable to their role. Completes training.","🔌 TechOps engineering","conduct 1",""
"Accepts feedback graciously and acts on it. Gives feedback when requested","🔌 TechOps engineering","conduct 1",""
"Builds relationships within monzo and contributes to building a supportive, knowledgeable and engaged peer group","🔌 TechOps engineering","conduct 1",""
"Follows policies and procedures applicable to role","🔌 TechOps engineering, 📄 Generic null","conduct 1",""
"Completes training","🔌 TechOps engineering, 📄 Generic null","conduct 1",""
"Identifies and considers the risks related to their own work","🔌 TechOps engineering","conduct 1",""
"Communicates and escalates risks related to own projects and business area","🔌 TechOps engineering, 🔌 TechOps engineering, 🔌 TechOps engineering, 🔌 TechOps engineering, 📄 Generic null","conduct 2, conduct 3",""
"Works with speed as a habit","🔌 TechOps engineering","conduct 2",""
"Applies and follows governance principles as they apply to role","🔌 TechOps engineering, 🔌 TechOps engineering, 📄 Generic null","conduct 2, conduct 3",""
"Ensures colleagues actively analyse and address risks in their area","🔌 TechOps engineering, 🔌 TechOps engineering, 📄 Generic null","conduct 2, conduct 3",""
"Works with efficiency as a habit","🔌 TechOps engineering","conduct 3",""
"Delivers assigned tasks, working with a more senior team member, and able to take feedback onboard to improve their work","🔌 TechOps engineering","impact 1",""
"Independently works on small, low-impact, well-defined task","🔌 TechOps engineering, 📄 Generic null","impact 1",""
"Looks to optimise existing work (eg processes, procedures, products, etc)","🔌 TechOps engineering","impact 1",""
"Manages their own time effectively, prioritises their workload well, on time for meetings, aware when blocking others and unblocks when they can","🔌 TechOps engineering","impact 2",""
"Owns small tasks with minimum support. Drives forward small projects.","🔌 TechOps engineering","impact 2",""
"Takes the initiative to do things or to fix things. Doesn't shy away from picking up new things which need to be done.","🔌 TechOps engineering","impact 2",""
"Manages medium-sized processes or projects with some instruction","🔌 TechOps engineering","impact 2",""
"Owns problems, generates solutions and leads implementation.","🔌 TechOps engineering","impact 3",""
"Manages large or complex projects or areas with some instruction.","🔌 TechOps engineering","impact 3",""
"Drives forward or initiates medium sized, relatively-complex processes or projects with minimum support.","🔌 TechOps engineering","impact 3",""
"Prioritises defined projects based on effort, impact, user needs and business goals.","🔌 TechOps engineering","impact 3",""
"Identifies problems that need solving. Accurately scopes out length and difficulty of tasks and projects.","🔌 TechOps engineering","impact 3",""
"Comfortable changing direction quickly where required.","🔌 TechOps engineering","impact 3",""
"Effectively navigates challenging trade-offs between achieving goals and ensuring optimal customer experience.","🔌 TechOps engineering","impact 3",""
"Identifies problems to solve","🔌 TechOps engineering, 📄 Generic null","impact 3",""
"Makes pragmatic choices about taking on technical debt","🔌 TechOps engineering","impact 4",""
"Can take a long-term vision and define building blocks to get there","🔌 TechOps engineering, 📄 Generic null","impact 4",""
"Solves the 'hard problem' in a project","🔌 TechOps engineering","impact 5",""
"Understands the big picture and integrates company goals into their area","🔌 TechOps engineering, 📄 Generic null","impact 5",""
"Brings new ideas to the table to improve technical aspects of Movenaut’s day to day life","🔌 TechOps engineering","influence 1",""
